成都双流国际机场,,30.568996,103.955601,,就近的登机口,,,,,,,,,,,,,,,
成都双流国际机场,T2航站楼D指廊名食馆对面D308卫生间外墙,30.568996,103.955601,,就近的登机口,,,,,,,,,,,,,,,
成都双流国际机场,T2航站楼DE连廊139登机口对面手机加油站旁,30.570828,103.953088,,就近的登机口,,,,,,,,,,,,,,,
成都双流国际机场,,30.568996,103.955601,,取大,,,,,,,,,,,,,,,
成都双流国际机场,T2航站楼F指廊159登机口对面头等舱休息室旁,30.570828,103.953088,,就近的登机口,,,,,,,,,,,,,,,
成都双流国际机场,T2航站楼F指廊168登机口对面F319卫生间旁,30.570828,103.953088,,就近的登机口,,,,,,,,,,,,,,,
金沙遗址博物馆,游客中心,30.6794,104.011333,,,,,,,,,,,,,,,,,
金沙遗址博物馆,遗迹馆,30.681107,104.013221,,,,,,,,,,,,,,,,,
金沙遗址博物馆,陈列馆一楼,30.683107,104.014275,,,,,,,,,,,,,,,,,
金沙遗址博物馆,陈列馆负一楼,30.683107,104.014275,,,,,,,,,,,,,,,,,
凯德广场一期,二楼沃尔玛出口客服台旁,30.702469,104.044608,,,,,,,,,,,,,,,,,
凯德广场二期,一楼三号中庭客服台旁,30.702469,104.044608,,,,,,,,,,,,,,,,,
凯德广场,五楼物业办公室门外,30.702469,104.044608,,,,,,,,,,,,,,,,,
凯德广场二期,四楼电影院门口,30.702469,104.044608,,,,,,,,,,,,,,,,,
成都市青少年宫,二号楼一楼104教室外,30.709014,104.056801,,,,,,,,,,,,,,,,,
成都市青少年宫,一号楼入口处,30.709893,104.056531,,取大,,,,,,,,,,,,,,,
成都市青少年宫,防灾体验馆进门右侧,30.709893,104.056531,,取大,,,,,,,,,,,,,,,
成都市欢乐谷,幽灵古堡门口,30.720403,104.033415,,,,,,,,,,,,,,,,,
成都市欢乐谷,欢乐时光小店内,30.72243,104.0337,,取大,,,,,,,,,,,,,,,
成都市欢乐谷,真人CS馆,30.722315,104.032432,,,,,,,,,,,,,,,,,
成都市欢乐谷,荒漠补给站,30.72243,104.0337,,取大,,,,,,,,,,,,,,,
成都市欢乐谷,医务室,30.72243,104.0337,,取大,,,,,,,,,,,,,,,
金泉运动公园,1号馆进门右侧,30.715723,103.976759,,取大,,,,,,,,,,,,,,,
中国西部国际博览城,消防二分站,30.420189,104.084002,,取大,,,,,,,,,,,,,,,
中国西部国际博览城,消防总站,30.420189,104.084002,,取大,,,,,,,,,,,,,,,
中国西部国际博览城,消防总站,30.420189,104.084002,,取大,,,,,,,,,,,,,,,
熊猫基地,游客中心讲解处,30.732179,104.145594,,,,,,,,,,,,,,,,,
熊猫基地,熊猫魅力剧场,30.73561,104.14281,,,,,,,,,,,,,,,,,
熊猫基地,小熊猫产房出口处,30.740616,104.135535,,,,,,,,,,,,,,,,,
熊猫基地,亚成年大熊猫别墅B区,30.736824,104.145821,,,,,,,,,,,,,,,,,
成都市植物园,大草坪旁商铺“丛林里”内,30.764892,104.130321,,,,,,,,,,,,,,,,,
成都市植物园,西大门内游客服务部内,30.764505,104.123802,,,,,,,,,,,,,,,,,
在原设备统计清单，不在上表内,,,,,,,,,,,,,,,,,,,
成都市高新区交子大道177号A座,大堂前台可视区域成都中海国际中心A座,30.581729,104.059091,18981702250,中海地产,,,,,,,,,,,,,,,
成都市高新区交子大道177号B座,大堂前台可视区域成都中海国际中心B座,30.581705,104.058668,18981702250,中海地产,,,,,,,,,,,,,,,
成都市高新区交子大道177号J座,大堂前台可视区域成都中海国际中心J座,30.581363,104.047251,18981702250,中海地产,,,,,,,,,,,,,,,
成都市高新区交子大道177号G座,大堂前台可视区域成都中海国际中心G座,30.581328,104.053054,18981702250,中海地产,,,,,,,,,,,,,,,
成都市高新区交子大道177号F座,大堂前台可视区域成都中海国际中心F座,30.581452,104.053645,18981702250,中海地产,,,,,,,,,,,,,,,
成都市高新区交子大道177号E座,大堂前台可视区域成都中海国际中心E座,30.581502,104.055211,18981702250,中海地产,,,,,,,,,,,,,,,
成都市高新区府城大道西段339号天府新谷,1号楼1层成都美年大健康,30.587869,104.055071,13908283013,美年大健康,,,,,,,,,,,,,,,
成都市高新区天府大道北段28号1栋,3、4层成都美兆健康管理有限公司,30.589841,104.066731,13980797330,美年大健康,,,,,,,,,,,,,,,
成都市政协委员会,一楼大厅,30.657189,104.082609,,,,,,,,,,,,,,,,,
AED(市级机关第三办公区),一楼大厅,30.576185,104.065586,,,,,,,,,,,,,,,,,
成都森林大队,成都森林大队,30.586394,104.082642,,,,,,,,,,,,,,,,,
万科金海蓉3栋,2层1-9号维康体检,30.586364,104.082634,13550242063,美年大健康,,,,,,,,,,,,,,,
科源种子大厦,维康体检门诊,30.62135,104.108309,18628011913,美年大健康,,,,,,,,,,,,,,,
成都市锦江区静康路76号,B2楼停车场电梯旁,30.622056,104.120002,,,,,,,,,,,,,,,,,
莱蒙都会商场,5楼凯尔健康体检医院有限公司,30.631568,104.033703,13730826227,美年大健康,,,,,,,,,,,,,,,
成都市武侯区浆洗街27号附16号,1-2层成都美年体检医院有限公司,30.646136,104.059417,13908099278,美年大健康,,,,,,,,,,,,,,,
三勒浆药业集团,三楼急救培训中心,30.646311,104.063376,,,,,,,,,,,,,,,,,
仁恒置地写字楼,26楼2602,30.651818,104.066976,,,,,,,,,,,,,,,,,
光华东三路588号维康体检门诊,8栋5层附501号,30.672391,103.960307,15928450677,美年大健康,,,,,,,,,,,,,,,
金沙遗址路5号成都慈铭健康管理有限公司,金沙分院,30.679841,104.009117,13668270021,美年大健康,,,,,,,,,,,,,,,
中海大厦,大堂前台可视区域,30.652293,104.018931,18981702250,中海地产,,,,,,,,,,,,,,,
金牛区市民中心,1楼服务大厅,30.702504,104.040328,,,,,,,,,,,,,,,,,
金沙路15号1栋,2层1号大健康科技管理有限公司,30.686527,104.043024,13550316315,美年大健康,,,,,,,,,,,,,,,
成都市青羊区少城街道西胜街与长顺上街路口,东北方向50米,30.661905,104.054883,,,,,,,,,,,,,,,,,
壹中心商业B区,3层163-168,30.566863,104.241122,18980713451,美年大健康,,,,,,,,,,,,,,,
一环路北三段1号万达广场,4、5层Z-1F-B号,30.687885,104.074406,18349291810,美年大健康,,,,,,,,,,,,,,,
星辉西路12号1栋大健康科技管理有限公司,1-3楼成都,30.678588,104.074576,13980705986,美年大健康,,,,,,,,,,,,,,,
都江堰市灌口街道太平街169号,4楼,30.990779,103.625669,,美年大健康,,,,,,,,,,,,,,,
